Parameters,LR,Val RMSE,Val MAE,Test RMSE,Val MAE
2018_24_12_10_2_0.1_64_30,0.0398,0.0888,0.0705,0.0941,0.071
2018_24_12_10_2_0.1_128_30,0.0398,0.1149,0.0936,0.0959,0.0797
2018_24_12_10_2_0.3_64_30,0.0398,0.092,0.0781,0.0984,0.0812
2018_24_12_10_2_0.3_128_30,0.0398,0.1524,0.1331,0.1383,0.1201
2018_24_12_10_4_0.1_64_30,0.0398,0.1552,0.1294,0.1632,0.1315
2018_24_12_10_4_0.1_128_30,0.0398,0.0984,0.0788,0.1075,0.0837
2018_24_12_10_4_0.3_64_30,0.0398,0.3038,0.2687,0.3496,0.3253
2018_24_12_10_4_0.3_128_30,0.0398,0.1401,0.1159,0.1268,0.1084
2018_24_12_10_8_0.1_64_30,0.0398,0.2244,0.1807,0.165,0.1332
2018_24_12_10_8_0.1_128_30,0.0398,0.2809,0.2424,0.3248,0.2964
2018_24_12_10_8_0.3_64_30,0.0398,0.2551,0.2167,0.2958,0.2672
2018_24_12_10_8_0.3_128_30,0.0398,0.1549,0.131,0.1266,0.1105
2018_24_12_30_2_0.1_64_30,0.0141,0.1367,0.1201,0.1162,0.1026
2018_24_12_30_2_0.1_128_30,0.0141,0.1783,0.1518,0.1504,0.1276
2018_24_12_30_2_0.3_64_30,0.0355,0.0978,0.0805,0.1171,0.092
2018_24_12_30_2_0.3_128_30,0.0355,0.214,0.1885,0.1743,0.1494
2018_24_12_30_4_0.1_64_30,0.0112,0.0996,0.081,0.0946,0.0733
2018_24_12_30_4_0.1_128_30,0.0112,0.1261,0.1119,0.1276,0.1128
2018_24_12_30_4_0.3_64_30,0.0112,0.1113,0.0927,0.0997,0.0831
2018_24_12_30_4_0.3_128_30,0.0112,0.1135,0.083,0.1034,0.0761
2018_24_12_30_8_0.1_64_30,0.0112,0.1492,0.1265,0.1449,0.1188
2018_24_12_30_8_0.1_128_30,0.0112,0.1619,0.1337,0.1768,0.1435
2018_24_12_30_8_0.3_64_30,0.0112,0.1577,0.131,0.1667,0.1347
2018_24_12_30_8_0.3_128_30,0.0112,0.1571,0.1324,0.1261,0.1105
2018_24_12_60_2_0.1_64_30,0.01,0.1451,0.1051,0.1174,0.0845
2018_24_12_60_2_0.1_128_30,0.01,0.1291,0.1039,0.0973,0.0857
2018_24_12_60_2_0.3_64_30,0.01,0.1293,0.1102,0.1143,0.0959
2018_24_12_60_2_0.3_128_30,0.01,0.1539,0.1292,0.1426,0.1213
2018_24_12_60_4_0.1_64_30,0.0071,0.102,0.0842,0.1082,0.0892
2018_24_12_60_4_0.1_128_30,0.0071,0.136,0.1175,0.1224,0.1049
2018_24_12_60_4_0.3_64_30,0.0071,0.1788,0.1589,0.1582,0.1367
2018_24_12_60_4_0.3_128_30,0.0071,0.0873,0.0724,0.0885,0.0681
2018_24_12_60_8_0.1_64_30,0.01,0.1628,0.1342,0.1772,0.144
2018_24_12_60_8_0.1_128_30,0.01,0.1541,0.1287,0.1614,0.1298
2018_24_12_60_8_0.3_64_30,0.01,0.1513,0.1277,0.1503,0.1226
2018_24_12_60_8_0.3_128_30,0.01,0.1516,0.1288,0.1297,0.1116
2018_24_24_10_2_0.1_64_30,0.0282,0.0966,0.0795,0.0948,0.0763
2018_24_24_10_2_0.1_128_30,0.0282,0.1181,0.0954,0.115,0.0961
2018_24_24_10_2_0.3_64_30,0.0282,0.1112,0.0821,0.1001,0.0771
2018_24_24_10_2_0.3_128_30,0.0282,0.115,0.1024,0.1175,0.1021
2018_24_24_10_4_0.1_64_30,0.0891,0.1894,0.1532,0.139,0.1172
2018_24_24_10_4_0.1_128_30,0.0891,0.1514,0.129,0.1275,0.1106
2018_24_24_10_4_0.3_64_30,0.0891,0.1702,0.1405,0.1282,0.112
2018_24_24_10_4_0.3_128_30,0.0891,0.1579,0.1329,0.1266,0.1106
2018_24_24_10_8_0.1_64_30,0.0708,0.188,0.1524,0.1384,0.1168
2018_24_24_10_8_0.1_128_30,0.0708,0.1761,0.1443,0.1312,0.1133
2018_24_24_10_8_0.3_64_30,0.0708,0.1551,0.1312,0.1268,0.1105
2018_24_24_10_8_0.3_128_30,0.0708,0.1528,0.1297,0.1295,0.1114
2018_24_24_30_2_0.1_64_30,0.02,0.1466,0.131,0.1433,0.1285
2018_24_24_30_2_0.1_128_30,0.02,0.1095,0.0873,0.0976,0.081
2018_24_24_30_2_0.3_64_30,0.0178,0.1074,0.0913,0.0933,0.0779
2018_24_24_30_2_0.3_128_30,0.0178,0.1552,0.1361,0.1316,0.1155
2018_24_24_30_4_0.1_64_30,0.0079,0.0996,0.081,0.0994,0.0812
2018_24_24_30_4_0.1_128_30,0.0079,0.1181,0.0995,0.0973,0.0822
2018_24_24_30_4_0.3_64_30,0.0079,0.1585,0.1391,0.1502,0.1313
2018_24_24_30_4_0.3_128_30,0.0079,0.1225,0.1075,0.1056,0.0909
2018_24_24_30_8_0.1_64_30,0.0141,0.2574,0.2192,0.2968,0.2687
2018_24_24_30_8_0.1_128_30,0.0141,0.1506,0.1276,0.1468,0.1204
